link,nome,preco,nquartos,nbanheiros,ngaragem,area,data_scraping
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-de-esquina-a-200-metros-da-lagoa-1432180835,Casas de esquina a 200 metros da lagoa,450000,5,2,2,140,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-na-quinta-dos-acorianos-valor-abaixo-do-mercado-1432041415,Casas na Quinta dos Açorianos - Valor abaixo do mercado,260000,2,1,2,60,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/venda-de-casas-alto-padrao-na-cidade-de-jaragua-do-sul-1432019671,Venda de Casas / Alto Padrão na cidade de Jaraguá do Sul,1870000,3,2,2,184,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-itapoa-sc-1431876900,Casas Itapoá SC,359000,3,1,1,70,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-moderna-em-itajai-1431852478,Casas Moderna em itajai,590000,3,3,2,105,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-duplex-de-2-quartos-a-600-metros-da-praia-dos-ingleses-1431851411,Casas duplex de 2 quartos à 600 metros da praia dos Ingleses,720000,2,3,1,133,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-nova-villa-toscana-com-2-quartos-palhoca-1431572775,Casas nova Villa Toscana com 2 Quartos Palhoça,350000,2,1,2,50,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-casas-1431418204,Vendo casas,350000,2,1,1,160,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-de-pre-moldados-pronta-com-a-chave-na-mao-para-morar-1431255597,? CASAS DE PRÉ MOLDADOS PRONTA COM A CHAVE NA MÃO PARA MORAR! ?,49560,2,1,1,42,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-proximo-de-tudo-1423620190,Casas próximo de tudo,900000,3,2,1,99,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/vende-casas-1430913310,Vende Casas.,420000,2,1,2,200,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-palhoca-1430883570,Casas Palhoça,350000,2,1,2,50,2025-09-05 19:42:49
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-duas-casas-mais-terreno-1430690229,Vendo duas casas mais terreno,900000,4,2,5,660,2025-09-05 19:42:49
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-duas-casas-1434602382,VENDO DUAS CASAS,260000,4,3,1,150,2025-09-05 19:46:09
https://pb.olx.com.br/paraiba/imoveis/casas-com-piscina-a-venda-em-joao-pessoa-1434451046,Casas com piscina a venda em João Pessoa,289900,3,2,3,120,2025-09-05 19:46:09
https://rj.olx.com.br/norte-do-estado-do-rio/imoveis/vende-se-duas-casas-independentes-em-campos-dos-goytacazes-1434501436,? Vende-se duas casas independentes em Campos dos Goytacazes.,240000,3,2,1,144,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/excelentes-casas-com-3-quartos-atras-das-casas-freitas-da-av-washington-soares-cod-dt8-1434604467,"Excelentes Casas Com 3 Quartos, Atras Das Casas Freitas Da Av. Washington Soares! Cód. DT8",420000,3,2,2,117,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-na-pavuna-2-quartos-sendo-1-suite-cod-1nj9kfk-1434603549,Casas Duplex Na Pavuna  2 Quartos Sendo 1 Suíte! Cód. 1NJ9KFK,220000,2,2,1,86,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-em-condominio-a-800m-do-centro-da-pacatuba-cod-1rsbgc-1434603467,Casas Duplex Em Condomínio A 800M Do Centro Da Pacatuba! Cód. 1RSBGC,188000,2,2,1,78,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-de-altissimo-padrao-no-luzardo-viana-100-porcelanato-acabamento-fino-cod-1434602354,"Casas Duplex De Altissimo Padrão No Luzardo Viana, 100% Porcelanato Acabamento Fino! Cód.",420000,3,3,2,131,2025-09-05 19:46:09
https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casas-qnl14-1434599358,Casas qnl14,240000,3,3,1,188,2025-09-05 19:46:09
https://rj.olx.com.br/norte-do-estado-do-rio/imoveis/duas-casas-independentes-no-mesmo-terreno-bairro-pero-cabo-frio-1434582176,"Duas Casas Independentes no mesmo Terreno  Bairro Peró, Cabo Frio",650000,4,2,3,125,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casas-financiadas-laranjal-1434580356,Casas financiadas-Laranjal,170000,1,1,1,30,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-em-horizonte-ceara-entrada-zero-1434565600,Casas em Horizonte-ceara   Entrada Zero,500,2,2,1,80,2025-09-05 19:46:09
